"filename", "language", "C++", "JSON", "YAML", "Dart", "Markdown", "Swift", "XML", "HTML", "Properties", "Gradle", "comment", "blank", "total"
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\pages\instructor_chat_page.dart", "Dart", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 2, 5, 111
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\pages\main_page.dart", "Dart", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 4, 71
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\pages\podcast_list_page.dart", "Dart", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 1, 3, 91
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\pages\profile_page.dart", "Dart", 0, 0, 0, 217, 0, 0, 0, 0, 0, 0, 2, 4, 223
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\pages\statistics_page.dart", "Dart", 0, 0, 0, 971, 0, 0, 0, 0, 0, 0, 20, 15, 1006
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\pages\videos_list_page.dart", "Dart", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 1, 3, 91
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\animations\animation_samples_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 4, 18
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\animations\custom_caret\README.md", "Markdown", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 9, 23
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\animations\custom_caret\custom_caret.dart", "Dart", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\animations\custom_caret\max_length.dart", "Dart", 0, 0, 0, 213, 0, 0, 0, 0, 0, 0, 6, 21, 240
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\animations\custom_caret\password_strength.dart", "Dart", 0, 0, 0, 311, 0, 0, 0, 0, 0, 0, 6, 28, 345
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\animations\grid_magnification\README.md", "Markdown", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 9, 23
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\animations\grid_magnification\grid_magnification.dart", "Dart", 0, 0, 0, 198, 0, 0, 0, 0, 0, 0, 20, 29, 247
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\animations\grid_magnification\icons.dart", "Dart", 0, 0, 0, 266, 0, 0, 0, 0, 0, 0, 0, 1, 267
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\ui\rive_app\README.md", "Markdown", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 16, 47
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\ui\rive_app\assets.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 1, 14
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\ui\rive_app\components\hcard.dart", "Dart", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 4, 49
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\ui\rive_app\components\menu_row.dart", "Dart", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 1, 7, 86
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\ui\rive_app\components\vcard.dart", "Dart", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 7, 105
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\ui\rive_app\home.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 341, 19, 360
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\ui\rive_app\models\courses.dart", "Dart", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 5, 127
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\ui\rive_app\models\menu_item.dart", "Dart", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 6, 55
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\ui\rive_app\models\tab_item.dart", "Dart", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\ui\rive_app\navigation\custom_tab_bar.dart", "Dart", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 1, 12, 126
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\ui\rive_app\navigation\home_tab_view.dart", "Dart", 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 2, 6, 140
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\ui\rive_app\navigation\leaderboard_tap_view.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\ui\rive_app\navigation\side_menu.dart", "Dart", 0, 0, 0, 189, 0, 0, 0, 0, 0, 0, 1, 11, 201
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\samples\ui\rive_app\theme.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\screens\list\grid_item_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 4, 52
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\screens\list\list_item_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 4, 78
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\screens\samples_list_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 7, 114
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\widgets\Summary.dart", "Dart", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 4, 108
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\widgets\card.dart", "Dart", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 1, 3, 82
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\widgets\category_card.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 2, 2, 55
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\widgets\chat_card.dart", "Dart", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 2, 3, 82
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\widgets\course_card.dart", "Dart", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 3, 63
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\widgets\custom_appBar.dart", "Dart", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 1, 3, 58
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\widgets\quiz_questions.dart", "Dart", 0, 0, 0, 276, 0, 0, 0, 0, 0, 0, 2, 5, 283
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\widgets\section_header.dart", "Dart", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 2, 52
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\widgets\simple_appBar.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 3, 29
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\widgets\stats_card.dart", "Dart", 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 3, 134
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\widgets\video_card.dart", "Dart", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 4, 4, 106
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\linux\flutter\generated_plugin_registrant.cc", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\linux\my_application.cc", "C++", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 26, 125
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 3, 4, 29
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\pubspec.yaml", "YAML", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 46, 14, 131
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\splash.yaml", "YAML", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 15, 5, 39
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\windows\flutter\generated_plugin_registrant.cc", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 30
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 565, 219, 85, 7084, 72, 68, 719, 19, 8, 83, 1073, 718, 10713
